"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1419169_at",-11.1735099489818,10.5112889474926,-16.9147525139699,1.47947493898337e-14,4.9702956443633e-13,20.8928069605856
"1422483_a_at",-10.0363189870966,8.75505495027352,-16.9058036992001,1.49644630689973e-14,4.9702956443633e-13,20.8846871504852
"1443962_at",-11.5282171020433,11.8955126544383,-16.9047432226771,1.49847086595746e-14,4.9702956443633e-13,20.8837245067569
"1418895_at",-10.7629489927495,10.2150652422389,-16.8827387144896,1.54112860776556e-14,5.04045789355801e-13,20.8637304581636
"1434450_s_at",-9.64926462190618,8.29486992969467,-16.882310498353,1.5419711578608e-14,5.04045789355801e-13,20.8633409963
"1452956_a_at",-9.95353629683034,9.19813777654708,-16.8723312195605,1.56174243004617e-14,5.06835978556711e-13,20.8542608537877
"1429831_at",-10.4353407537873,9.49230043930751,-16.8552327670928,1.59623346366397e-14,5.13948796993796e-13,20.8386851074924
"1416726_s_at",-10.071473146243,9.69798344157912,-16.8484491530973,1.61013596377423e-14,5.13948796993796e-13,20.8324993496869
"1450641_at",-12.4923233095689,11.597328803268,-16.8447165605073,1.61783926342538e-14,5.13948796993796e-13,20.8290942013468
"1418826_at",-11.1485842291312,11.2930749871314,-16.8053414822242,1.70147465938211e-14,5.3459166367351e-13,20.7931075757354
"1451206_s_at",-10.5098335901174,11.0279000653531,-16.8030300742838,1.70652182595845e-14,5.3459166367351e-13,20.790991339616
"1416593_at",-11.2132820079431,10.7230187691573,-16.789169075492,1.73711689935326e-14,5.40423057447074e-13,20.7782920301993
"1436834_x_at",-10.3348746720694,10.4671995036458,-16.7572698776654,1.80971345888712e-14,5.59151877605465e-13,20.7490094782455
"1455357_x_at",-9.9420248350843,10.4387103403688,-16.7229516334385,1.8913472317213e-14,5.80399140292164e-13,20.717417615632
"1434356_a_at",-10.1845742835955,9.29377779158625,-16.6954995889624,1.9594003045102e-14,5.9349786833919e-13,20.692080085607
"1416471_at",-10.3807327642423,9.60383228930563,-16.6951253488914,1.96034543078119e-14,5.9349786833919e-13,20.6917342631274
"1453412_a_at",-9.35076709744055,8.64761176710146,-16.6650629133703,2.03783651018269e-14,6.12845366495609e-13,20.6639186283378
"1450372_a_at",-11.4007704350326,11.9348954547198,-16.6546523540897,2.06540821182247e-14,6.17023605531866e-13,20.6542695483577
