"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1434642_at",-11.3477625997772,10.1027282807393,-16.1062254895374,4.23589279547101e-14,9.53277111896578e-13,20.1336586181496
"1438670_at",-10.4443571110419,9.80155407111537,-16.1013308357121,4.2635285634223e-14,9.53277111896578e-13,20.128901508059
"1439411_a_at",-11.4614265536625,11.9586855547303,-16.0989344380858,4.27712716647227e-14,9.53277111896578e-13,20.1265717238235
"1439393_x_at",-9.83382308104562,10.2966839100546,-16.0980479922376,4.2821688093012e-14,9.53277111896578e-13,20.1257097976087
"1415834_at",-9.24702758839879,9.55598200775584,-16.0916464516624,4.31876130249557e-14,9.53277111896578e-13,20.1194833843219
"1427918_a_at",-9.01010660581757,9.18367490415151,-16.091281080253,4.32085961829224e-14,9.53277111896578e-13,20.1191279053907
"1428083_at",-12.2483916786157,10.1926543891567,-16.0877208555538,4.34136142316925e-14,9.53277111896578e-13,20.115663491768
"1422483_a_at",-9.54943416307723,8.75505495027352,-16.0856644360326,4.35324950234305e-14,9.53277111896578e-13,20.1136619321696
"1427271_at",-10.0935327119179,10.667193611602,-16.0591091672885,4.50984028542823e-14,9.82796595534625e-13,20.0877833839337
"1451206_s_at",-10.0375823830071,11.0279000653531,-16.0479989724447,4.57708136311699e-14,9.92654520625998e-13,20.0769388304915
"1420558_at",-9.8596476159839,8.21952248256114,-16.0397799015336,4.62749481215409e-14,9.98786081226177e-13,20.068909627066
"1418273_a_at",-10.2376152228893,11.8458902356381,-16.0149272187771,4.78347482138264e-14,1.02520220775692e-12,20.0445966182032
"1443816_s_at",-9.6738608462882,8.91905577910512,-16.0116087727224,4.80471179844489e-14,1.02520220775692e-12,20.0413463096106
"1460436_at",-9.64722332735013,9.00742098760803,-16.0095301781028,4.81806402226705e-14,1.02520220775692e-12,20.0393099235039
"1419873_s_at",-10.4551050411942,9.60029765209737,-15.9886853242691,4.95411683897166e-14,1.04440334970667e-12,20.0188682652681
"1416082_at",-11.1089926644752,10.496279974349,-15.9785667153965,5.02159397835194e-14,1.04440334970667e-12,20.0089321934395
"1423707_at",-9.95463202424268,8.91606313654826,-15.9766132985587,5.03473019822419e-14,1.04440334970667e-12,20.0070130223272
"1434059_at",-10.355611397578,10.3674830794335,-15.9749460403491,5.04597032505232e-14,1.04440334970667e-12,20.0053747387293
"1447896_s_at",-10.442663849257,11.2721087130788,-15.9746517500839,5.04795704331171e-14,1.04440334970667e-12,20.0050855384845
